model,analyzer,lowercase,ngram_range,aspect,type,C,class_weight,penalty,solver,val_f1,val_recall,val_precision,val_accuracy,test_f1,test_recall,test_precision,test_accuracy,alpha,gamma,kernel,criterion,min_samples_split,strategy
rf,word,True,"(1, 2)",original,lemma,,,,,0.817471344061971,0.8336933045356372,0.8276740358138582,0.8336933045356372,0.7725023254989375,0.7918819188191882,0.7927765592805807,0.7918819188191882,,,,gini,10.0,
rf,word,True,"(1, 1)",original,original,,balanced_subsample,,,0.8169146952268009,0.8250539956803455,0.8158881852935252,0.8250539956803455,0.7745419911789374,0.7808118081180812,0.7760924547760476,0.7808118081180812,,,,gini,10.0,
rf,word,True,"(1, 2)",original,lemma,,balanced_subsample,,,0.8161706997479409,0.8286537077033838,0.8219515535380858,0.8286537077033838,0.7718135298440552,0.7830258302583026,0.7791102977370707,0.7830258302583026,,,,gini,5.0,
rf,word,True,"(1, 1)",original,stem,,balanced_subsample,,,0.814566538689544,0.822174226061915,0.814212460560228,0.822174226061915,0.7788951336471445,0.785239852398524,0.781157748920168,0.785239852398524,,,,gini,5.0,
rf,word,True,"(1, 2)",original,lemma,,,,,0.8142805396954066,0.8336933045356372,0.8339343014820753,0.8336933045356372,0.7585329582275063,0.7815498154981549,0.784615940002407,0.7815498154981549,,,,gini,2.0,
rf,word,True,"(1, 3)",original,lemma,,,,,0.8142108953478232,0.8322534197264219,0.8276590367870981,0.8322534197264219,0.766493476202773,0.7874538745387454,0.7876764632825926,0.7874538745387454,,,,gini,10.0,
rf,word,True,"(1, 2)",original,original,,balanced_subsample,,,0.8139054865423945,0.8264938804895609,0.8188464866055323,0.8264938804895609,0.7701247336346885,0.7808118081180812,0.7767705596822901,0.7808118081180812,,,,gini,5.0,
rf,word,True,"(1, 3)",original,stem,,balanced_subsample,,,0.813840373633858,0.8214542836573074,0.8147132205451674,0.8214542836573074,0.781916091789053,0.7881918819188192,0.7865227007203182,0.7881918819188192,,,,gini,10.0,
rf,word,True,"(1, 1)",original,lemma,,balanced,,,0.8134397326751308,0.822174226061915,0.8160104081366076,0.822174226061915,0.7759476701565785,0.7859778597785978,0.7822407131706397,0.7859778597785978,,,,gini,5.0,
rf,word,True,"(1, 1)",original,original,,balanced,,,0.8133349457869102,0.8228941684665226,0.8135210742596262,0.8228941684665226,0.7694066188137907,0.7793357933579336,0.7765005220661899,0.7793357933579336,,,,gini,5.0,
rf,word,True,"(1, 3)",original,original,,balanced_subsample,,,0.813037542969301,0.8250539956803455,0.8179859934357828,0.8250539956803455,0.7788549027267369,0.7874538745387454,0.7837625373219937,0.7874538745387454,,,,gini,10.0,
rf,word,True,"(1, 2)",original,stem,,balanced,,,0.8129162154064752,0.8185745140388769,0.8132782734193127,0.8185745140388769,0.7805532441537024,0.7859778597785978,0.7866153623229853,0.7859778597785978,,,,gini,10.0,
rf,word,True,"(1, 3)",original,original,,balanced,,,0.8127415033397907,0.8243340532757379,0.8159729181983791,0.8243340532757379,0.772543348010442,0.7822878228782287,0.7783044945132972,0.7822878228782287,,,,gini,10.0,
rf,word,True,"(1, 3)",original,lemma,,,,,0.8124272111440167,0.8322534197264219,0.8319799074492545,0.8322534197264219,0.7615959900482075,0.7837638376383764,0.7877963098993561,0.7837638376383764,,,,gini,5.0,
rf,word,True,"(1, 2)",original,stem,,,,,0.8123858229075499,0.827933765298776,0.8193885839104512,0.827933765298776,0.7761398003669867,0.7940959409594096,0.7951709289242603,0.7940959409594096,,,,gini,10.0,
rf,word,True,"(1, 2)",original,stem,,balanced,,,0.8123646502138678,0.8236141108711303,0.817124961431657,0.8236141108711303,0.7670229198599984,0.777859778597786,0.7745840561444819,0.777859778597786,,,,entropy,5.0,
rf,word,True,"(1, 2)",original,lemma,,balanced,,,0.8121020976828415,0.8250539956803455,0.8191641208055973,0.8250539956803455,0.7714971822815103,0.7822878228782287,0.7780530229573733,0.7822878228782287,,,,gini,5.0,
rf,word,True,"(1, 1)",original,stem,,balanced_subsample,,,0.8120850179955696,0.8142548596112311,0.8136847694718359,0.8142548596112311,0.7751487829148273,0.7800738007380074,0.7772511932780692,0.7800738007380074,,,,gini,10.0,
rf,word,True,"(1, 2)",original,original,,,,,0.8120694805774605,0.8293736501079914,0.822540419392483,0.8293736501079914,0.7617625206385729,0.7830258302583026,0.7848228537449837,0.7830258302583026,,,,gini,5.0,
rf,word,True,"(1, 2)",original,lemma,,balanced_subsample,,,0.8119289047100867,0.822174226061915,0.8142692376962491,0.822174226061915,0.7747300435156411,0.7815498154981549,0.7799615727986773,0.7815498154981549,,,,gini,10.0,
rf,word,True,"(1, 2)",original,stem,,balanced,,,0.8118866280171272,0.8228941684665226,0.8150797835838686,0.8228941684665226,0.7813752729971368,0.7896678966789668,0.7880772985511401,0.7896678966789668,,,,gini,5.0,
rf,word,True,"(1, 1)",original,stem,,balanced,,,0.8117347861835944,0.8156947444204463,0.8130394849001588,0.8156947444204463,0.7833364223917757,0.7881918819188192,0.787281083229758,0.7881918819188192,,,,gini,10.0,
rf,word,True,"(1, 2)",original,original,,balanced,,,0.8116835206941426,0.8214542836573074,0.8132442494039039,0.8214542836573074,0.7694728484654506,0.7785977859778598,0.7763120478662414,0.7785977859778598,,,,gini,10.0,
rf,word,True,"(1, 3)",original,original,,balanced_subsample,,,0.8115285533599436,0.8257739380849533,0.8185072901789309,0.8257739380849533,0.7670138756369262,0.777859778597786,0.7746896894866317,0.777859778597786,,,,gini,5.0,
rf,word,True,"(1, 3)",original,lemma,,balanced_subsample,,,0.8114755560154625,0.8250539956803455,0.8178092498215431,0.8250539956803455,0.7658208487565776,0.7785977859778598,0.7747391293232725,0.7785977859778598,,,,gini,5.0,
rf,word,True,"(1, 2)",original,lemma,,,,,0.8114450119097799,0.8308135349172067,0.8285438741422636,0.8308135349172067,0.7614850638321325,0.7837638376383764,0.7883477885586633,0.7837638376383764,,,,entropy,5.0,
rf,word,True,"(1, 2)",original,lemma,,balanced,,,0.8112943323246351,0.8200143988480921,0.8149793510856066,0.8200143988480921,0.77618520565952,0.7845018450184502,0.7812731968296943,0.7845018450184502,,,,gini,10.0,
rf,word,True,"(1, 1)",original,stem,,,,,0.811225781669236,0.8236141108711303,0.8118700262692121,0.8236141108711303,0.7805372608982405,0.7955719557195572,0.791724910768137,0.7955719557195572,,,,gini,10.0,
rf,word,True,"(1, 1)",original,lemma,,balanced,,,0.811134980514026,0.8171346292296616,0.8123281250373471,0.8171346292296616,0.7742676287359765,0.7808118081180812,0.7778743372925958,0.7808118081180812,,,,gini,10.0,
rf,word,True,"(1, 1)",original,lemma,,balanced_subsample,,,0.8110996781408438,0.816414686825054,0.8123894794162528,0.816414686825054,0.7776254119790569,0.7845018450184502,0.781368585315268,0.7845018450184502,,,,gini,10.0,
rf,word,True,"(1, 2)",original,original,,balanced_subsample,,,0.8110996264394296,0.8200143988480921,0.8130013498549897,0.8200143988480921,0.7717834335789275,0.7800738007380074,0.7760279385973659,0.7800738007380074,,,,gini,10.0,
rf,word,True,"(1, 1)",original,lemma,,balanced_subsample,,,0.8107134905793056,0.8214542836573074,0.8132196614059352,0.8214542836573074,0.7744620171746049,0.7822878228782287,0.7793058928723795,0.7822878228782287,,,,gini,5.0,
rf,word,True,"(1, 2)",original,lemma,,,,,0.8102224078552194,0.8293736501079914,0.825675055083068,0.8293736501079914,0.767245933242886,0.788929889298893,0.7944435236151285,0.788929889298893,,,,entropy,2.0,
rf,word,True,"(1, 2)",original,lemma,,balanced,,,0.809882725309401,0.8207343412526998,0.8145276391461977,0.8207343412526998,0.7765852388235235,0.7859778597785978,0.7832093502537733,0.7859778597785978,,,,entropy,10.0,
rf,word,True,"(1, 3)",original,lemma,,,,,0.8096399769660827,0.8286537077033838,0.8235588166001925,0.8286537077033838,0.7716141462870747,0.792619926199262,0.7954038352929316,0.792619926199262,,,,entropy,10.0,
rf,word,True,"(1, 2)",original,original,,balanced_subsample,,,0.809551338070599,0.8207343412526998,0.8145081038219909,0.8207343412526998,0.7614156117542905,0.7712177121771218,0.7665988161318212,0.7712177121771218,,,,entropy,10.0,
rf,word,True,"(1, 1)",original,stem,,,,,0.8094652968303075,0.8257739380849533,0.8177235500152268,0.8257739380849533,0.7641434648942913,0.785239852398524,0.7883250917217414,0.785239852398524,,,,entropy,2.0,
rf,word,True,"(1, 1)",original,stem,,,,,0.8092326358767,0.8250539956803455,0.813792908126883,0.8250539956803455,0.7728474845591037,0.7918819188191882,0.7924942880557251,0.7918819188191882,,,,entropy,10.0,
rf,word,True,"(1, 3)",original,stem,,balanced,,,0.8088020608406338,0.8207343412526998,0.813160767099736,0.8207343412526998,0.7797542065359142,0.788929889298893,0.7860963102881053,0.788929889298893,,,,gini,5.0,
rf,word,True,"(1, 2)",original,original,,balanced,,,0.8087780118858566,0.8214542836573074,0.8132152424436627,0.8214542836573074,0.7728787600504554,0.7837638376383764,0.7800203951455533,0.7837638376383764,,,,gini,5.0,
rf,word,True,"(1, 2)",original,lemma,,balanced_subsample,,,0.8087412631688445,0.8228941684665226,0.8158865407400933,0.8228941684665226,0.766022527239614,0.7771217712177122,0.7744379005871034,0.7771217712177122,,,,entropy,5.0,
rf,word,True,"(1, 1)",original,original,,balanced_subsample,,,0.8086354825843931,0.816414686825054,0.8087484211539029,0.816414686825054,0.7655720641490195,0.7734317343173431,0.7709394877394784,0.7734317343173431,,,,entropy,10.0,
