restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,phrase_emoticon_generic,phrase_emoticon_unique,phrase_stem_emoticon_generic,phrase_lemma_emoticon_generic,phrase_stem_emoticon_unique,phrase_lemma_emoticon_unique,label
-9De6TTX,"15 September 2017: Because husband knows best 💕, we just left this place with satisfaction in our tummies 😋
He knew how much I was craving for Chong Qing grilled fish after we had it two weeks ago and since it was so good, we were back here earlier for late dinner!",Bernice Sim,food,grilled fish good,grilled fish good,grill fish good,grilled fish good,grilled fish good,grill fish good,grilled fish good,grill fish good,grilled fish good,1.0
-9De6TTX,"15 September 2017: Because husband knows best 💕, we just left this place with satisfaction in our tummies 😋
He knew how much I was craving for Chong Qing grilled fish after we had it two weeks ago and since it was so good, we were back here earlier for late dinner!",Bernice Sim,service,good,good,good,good,good,good,good,good,good,1.0
130-dim-sum-tampines,$1.30 dim sum,Ryan & Nat,food,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tast decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tast decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tast decent,prawn chee cheong fun meh foolish thought custard bun liu sha bao dim sum liu sha bao tasted decent,0.0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,Lynn Kwek,food,instead went pig congee lo mai kai crystal dumplings total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig congee lo mai kai crystal dumpling total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig conge lo mai kai crystal dumpl total damag food photo rice normal sticki glutin like not salti lomaikai porridg time stick conge smooth crimin bonu not salti,instead went pig congee lo mai kai crystal dumplings total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig congee lo mai kai crystal dumplings total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig conge lo mai kai crystal dumpl total damag food photo rice normal sticki glutin like not salti lomaikai porridg time stick conge smooth crimin bonu not salti,instead went pig congee lo mai kai crystal dumpling total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,instead went pig conge lo mai kai crystal dumpl total damag food photo rice normal sticki glutin like not salti lomaikai porridg time stick conge smooth crimin bonu not salti,instead went pig congee lo mai kai crystal dumpling total damage food photo rice normal sticky glutinous like not salty lomaikai porridge time stick congee smooth criminal bonus not salty,1.0
2lhaZp7B,How do people take clean #Instafood shots at a hawker centre?,Lynn Kwek,service,fun fact friendly owner,fun fact friendly owner,fun fact friendli owner,fun fact friendly owner,fun fact friendly owner,fun fact friendli owner,fun fact friendly owner,fun fact friendli owner,fun fact friendly owner,1.0
2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,Maureen Ow,food,cantonese style congee seasoned generous,cantonese style congee seasoned generous,cantones style conge season gener,cantonese style congee seasoned generous,cantonese style congee seasoned generous,cantones style conge season gener,cantonese style congee seasoned generous,cantones style conge season gener,cantonese style congee seasoned generous,1.0
2lhaZp7B,My Saturday morning started with breakfast at 根叔美食世家 @ Toa Payoh Lorong 4.,Maureen Ow,portion,seasoned generous ingredients,seasoned generous ingredient,season gener ingredi,seasoned generous ingredients,seasoned generous ingredients,season gener ingredi,seasoned generous ingredient,season gener ingredi,seasoned generous ingredient,1.0
2lhaZp7B,So glad the weekend is here and I can finally take a little breather.,Maureen Ow,food,glutinous rice,glutinous rice,glutin rice,glutinous rice,glutinous rice,glutin rice,glutinous rice,glutin rice,glutinous rice,0.0
328-katong-laksa,328 Katong Laksa,Joshua Sim,food,laksadelicious laksa,laksadelicious laksa,laksadelici laksa,laksadelicious laksa,laksadelicious laksa,laksadelici laksa,laksadelicious laksa,laksadelici laksa,laksadelicious laksa,1.0
328-katong-laksa,328 Katong Laksa [Approx $6 for small] • The only kind of laksa that you only eat with a spoon.,Cassandra Chew,food,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,katong laksa approx small kind laksa eat,0.0
