restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,phrase_emoticon_generic,phrase_emoticon_unique,phrase_stem_emoticon_generic,phrase_lemma_emoticon_generic,phrase_stem_emoticon_unique,phrase_lemma_emoticon_unique,label
june-bakery,$1.20 Tarts!!!👍👍😋😋,ICUCVC 4EVER,food,support orh nee tart yam filling earthy ginkgo buttery crust chewy mochi powder coating artisan patisserie patisserie sgfoodies compared fancy artisan patisserie delicious tarts,support orh nee tart yam filling earthy ginkgo buttery crust chewy mochi powder coating artisan patisserie patisserie sgfoodies compared fancy artisan patisserie delicious tart,support orh nee tart yam fill earthi ginkgo butteri crust chewi mochi powder coat artisan patisseri patisseri sgfoodi compar fanci artisan patisseri delici tart,support orh nee tart yam filling earthy ginkgo buttery crust chewy mochi powder coating artisan patisserie patisserie sgfoodies compared fancy artisan patisserie delicious tarts,support orh nee tart yam filling earthy ginkgo buttery crust chewy mochi powder coating artisan patisserie patisserie sgfoodies compared fancy artisan patisserie delicious tarts,support orh nee tart yam fill earthi ginkgo butteri crust chewi mochi powder coat artisan patisseri patisseri sgfoodi compar fanci artisan patisseri delici tart,support orh nee tart yam filling earthy ginkgo buttery crust chewy mochi powder coating artisan patisserie patisserie sgfoodies compared fancy artisan patisserie delicious tart,support orh nee tart yam fill earthi ginkgo butteri crust chewi mochi powder coat artisan patisseri patisseri sgfoodi compar fanci artisan patisseri delici tart,support orh nee tart yam filling earthy ginkgo buttery crust chewy mochi powder coating artisan patisserie patisserie sgfoodies compared fancy artisan patisserie delicious tart,1.0
june-bakery,$1.20 Tarts!!!👍👍😋😋,ICUCVC 4EVER,portion,huge piece extremely generous filling,huge piece extremely generous filling,huge piec extrem gener fill,huge piece extremely generous filling,huge piece extremely generous filling,huge piec extrem gener fill,huge piece extremely generous filling,huge piec extrem gener fill,huge piece extremely generous filling,1.0
june-bakery,$1.20 Tarts!!!👍👍😋😋,ICUCVC 4EVER,price,definitely worth calories time head reasonable price,definitely worth calorie time head reasonable price,definit worth calori time head reason price,definitely worth calories time head reasonable price,definitely worth calories time head reasonable price,definit worth calori time head reason price,definitely worth calorie time head reasonable price,definit worth calori time head reason price,definitely worth calorie time head reasonable price,1.0
june-bakery,$1.20 Tarts!!!👍👍😋😋,ICUCVC 4EVER,service,friendly couple passionate friendly couple,friendly couple passionate friendly couple,friendli coupl passion friendli coupl,friendly couple passionate friendly couple,friendly couple passionate friendly couple,friendli coupl passion friendli coupl,friendly couple passionate friendly couple,friendli coupl passion friendli coupl,friendly couple passionate friendly couple,1.0
june-bakery,$1.20 Tarts!!!👍👍😋😋,ICUCVC 4EVER,time,definitely worth calories time head,definitely worth calorie time head,definit worth calori time head,definitely worth calories time head,definitely worth calories time head,definit worth calori time head,definitely worth calorie time head,definit worth calori time head,definitely worth calorie time head,1.0
june-bakery,Cheese Tart,David L,food,filling right not weak strong,filling right not weak strong,fill right not weak strong,filling right not weak strong,filling right not weak strong,fill right not weak strong,filling right not weak strong,fill right not weak strong,filling right not weak strong,0.0
june-bakery,Cheese Tart,David L,price,tartthis place sells super cheap affordable cheese tart sells super cheap affordable cheese tart sells super cheap affordable cheese tart,tartthis place sell super cheap affordable cheese tart sell super cheap affordable cheese tart sell super cheap affordable cheese tart,tartthi place sell super cheap afford chees tart sell super cheap afford chees tart sell super cheap afford chees tart,tartthis place sells super cheap affordable cheese tart sells super cheap affordable cheese tart sells super cheap affordable cheese tart,tartthis place sells super cheap affordable cheese tart sells super cheap affordable cheese tart sells super cheap affordable cheese tart,tartthi place sell super cheap afford chees tart sell super cheap afford chees tart sell super cheap afford chees tart,tartthis place sell super cheap affordable cheese tart sell super cheap affordable cheese tart sell super cheap affordable cheese tart,tartthi place sell super cheap afford chees tart sell super cheap afford chees tart sell super cheap afford chees tart,tartthis place sell super cheap affordable cheese tart sell super cheap affordable cheese tart sell super cheap affordable cheese tart,1.0
june-bakery,Fantastic Pastries!,Alicia Ho,food,elusive orh nee tarts cheese june bakery pretty hard good reason buttery savoury like pastries come good reason,elusive orh nee tart cheese june bakery pretty hard good reason buttery savoury like pastry come good reason,elus orh nee tart chees june bakeri pretti hard good reason butteri savouri like pastri come good reason,elusive orh nee tarts cheese june bakery pretty hard good reason buttery savoury like pastries come good reason,elusive orh nee tarts cheese june bakery pretty hard good reason buttery savoury like pastries come good reason,elus orh nee tart chees june bakeri pretti hard good reason butteri savouri like pastri come good reason,elusive orh nee tart cheese june bakery pretty hard good reason buttery savoury like pastry come good reason,elus orh nee tart chees june bakeri pretti hard good reason butteri savouri like pastri come good reason,elusive orh nee tart cheese june bakery pretty hard good reason buttery savoury like pastry come good reason,1.0
june-bakery,Orh Nee Tarts,Cynthia Luvs,food,sweet yam filling gingko nuts atop sweet yam filling gingko nuts atop,sweet yam filling gingko nut atop sweet yam filling gingko nut atop,sweet yam fill gingko nut atop sweet yam fill gingko nut atop,sweet yam filling gingko nuts atop sweet yam filling gingko nuts atop,sweet yam filling gingko nuts atop sweet yam filling gingko nuts atop,sweet yam fill gingko nut atop sweet yam fill gingko nut atop,sweet yam filling gingko nut atop sweet yam filling gingko nut atop,sweet yam fill gingko nut atop sweet yam fill gingko nut atop,sweet yam filling gingko nut atop sweet yam filling gingko nut atop,0.0
june-bakery,Orh Nee Tarts,Cynthia Luvs,portion,generous smooth not,generous smooth not,gener smooth not,generous smooth not,generous smooth not,gener smooth not,generous smooth not,gener smooth not,generous smooth not,1.0
