restaurant_code,review_title,account_name,new_aspect_1,phrase,phrase_lemma,phrase_stem,phrase_emoticon_generic,phrase_emoticon_unique,phrase_stem_emoticon_generic,phrase_lemma_emoticon_generic,phrase_stem_emoticon_unique,phrase_lemma_emoticon_unique,label
percolate,A little coffee won't hurt.,Randy Lim,food,little coffee wo,little coffee wo,littl coffe wo,little coffee wo,little coffee wo,littl coffe wo,little coffee wo,littl coffe wo,little coffee wo,0.0
percolate,All you need is love...,Eugene Loh,food,maybe coffee,maybe coffee,mayb coffe,maybe coffee,maybe coffee,mayb coffe,maybe coffee,mayb coffe,maybe coffee,0.0
percolate,Amazing.,Richard Bakchormeeboy,food,percolate croissant,percolate croissant,percol croissant,percolate croissant,percolate croissant,percol croissant,percolate croissant,percol croissant,percolate croissant,0.0
percolate,Awesome Coffee,Chalith Kanchana,ambience,love place,love place,love place,love place,love place,love place,love place,love place,love place,1.0
percolate,Awesome Coffee,Chalith Kanchana,food,coffeesingle origin espresso,coffeesingle origin espresso,coffeesingl origin espresso,coffeesingle origin espresso,coffeesingle origin espresso,coffeesingl origin espresso,coffeesingle origin espresso,coffeesingl origin espresso,coffeesingle origin espresso,0.0
percolate,"Birchermüesli | breakfast dish based on raw rolled oatsand other ingredients including grains, fresh or dried fruits, seeds and nuts, mixed with milk, soy milk, yogurt or fruit juice.",Terence Yew,food,including grains fresh mixed milk ingredients including grains fresh,including grain fresh mixed milk ingredient including grain fresh,includ grain fresh mix milk ingredi includ grain fresh,including grains fresh mixed milk ingredients including grains fresh,including grains fresh mixed milk ingredients including grains fresh,includ grain fresh mix milk ingredi includ grain fresh,including grain fresh mixed milk ingredient including grain fresh,includ grain fresh mix milk ingredi includ grain fresh,including grain fresh mixed milk ingredient including grain fresh,1.0
percolate,Chocolate Almond Croissant,aggs & xi :D,food,croissantthe edges crisp middle section dense decent croissant pretty huge,croissantthe edge crisp middle section dense decent croissant pretty huge,croissantth edg crisp middl section dens decent croissant pretti huge,croissantthe edges crisp middle section dense decent croissant pretty huge,croissantthe edges crisp middle section dense decent croissant pretty huge,croissantth edg crisp middl section dens decent croissant pretti huge,croissantthe edge crisp middle section dense decent croissant pretty huge,croissantth edg crisp middl section dens decent croissant pretti huge,croissantthe edge crisp middle section dense decent croissant pretty huge,1.0
percolate,"Chocolate Praline Croissant ($5)
🍰
Earl Grey Lemon ($7)
🍰
These were simply heaven!!",Judy Choong,food,earl grey lemon,earl grey lemon,earl grey lemon,earl grey lemon,earl grey lemon,earl grey lemon,earl grey lemon,earl grey lemon,earl grey lemon,0.0
percolate,Coffee & Matcha Yuzu Cake,May L,food,cakenubbad coffee neighbourhood joint left feeling undecided,cakenubbad coffee neighbourhood joint left feeling undecided,cakenubbad coffe neighbourhood joint left feel undecid,cakenubbad coffee neighbourhood joint left feeling undecided,cakenubbad coffee neighbourhood joint left feeling undecided,cakenubbad coffe neighbourhood joint left feel undecid,cakenubbad coffee neighbourhood joint left feeling undecided,cakenubbad coffe neighbourhood joint left feel undecid,cakenubbad coffee neighbourhood joint left feeling undecided,1.0
percolate,Cold Brew Coffee Cheng Tng,Xin Han Tan,food,brew coffee cheng tngkinda odd ingredients cheng tng white fungus ginko nuts,brew coffee cheng tngkinda odd ingredient cheng tng white fungus ginko nut,brew coffe cheng tngkinda odd ingredi cheng tng white fungu ginko nut,brew coffee cheng tngkinda odd ingredients cheng tng white fungus ginko nuts,brew coffee cheng tngkinda odd ingredients cheng tng white fungus ginko nuts,brew coffe cheng tngkinda odd ingredi cheng tng white fungu ginko nut,brew coffee cheng tngkinda odd ingredient cheng tng white fungus ginko nut,brew coffe cheng tngkinda odd ingredi cheng tng white fungu ginko nut,brew coffee cheng tngkinda odd ingredient cheng tng white fungus ginko nut,-1.0
percolate,Espresso Milkshake,Sok Tuan 🤩,food,espresso milkshake,espresso milkshake,espresso milkshak,espresso milkshake,espresso milkshake,espresso milkshak,espresso milkshake,espresso milkshak,espresso milkshake,1.0
percolate,Feeling under the weather😷😷.,Kris Lim,food,plain yoghurt soothe tummy,plain yoghurt soothe tummy,plain yoghurt sooth tummi,plain yoghurt soothe tummy,plain yoghurt soothe tummy,plain yoghurt sooth tummi,plain yoghurt soothe tummy,plain yoghurt sooth tummi,plain yoghurt soothe tummy,1.0
